Tag	Name	Keyword	VR	VM	Unnamed: 5	Attribute Name	Retd. (from PS3.6 )	In Std. Comp. IOD (from PS3.3 )	Basic Prof.	Anonymisation	XNAT Code
(0008,0012)	Instance Creation Date	Instance​Creation​Date	DA	1		Instance Creation Date	N	Y	X/D	(0008,0012) ?= "00000000"	(0008,0012) ?= "00000000" //Instance Creation Date
(0008,0013)	Instance Creation Time	Instance​Creation​Time	TM	1		Instance Creation Time	N	Y	X/Z/D	(0008,0013) ?= "000000.000000"	(0008,0013) ?= "000000.000000" //Instance Creation Time
(0008,0014)	Instance Creator UID	Instance​Creator​UID	UI	1		Instance Creator UID	N	Y	U	(0008,0014) ?= hashUID[(0008,0014)]	(0008,0014) ?= hashUID[(0008,0014)] //Instance Creator UID
(0008,0015)	Instance Coercion DateTime	Instance​Coercion​Date​Time	DT	1		Instance Coercion DateTime	N	Y	X	-(0008,0015)	-(0008,0015) //Instance Coercion DateTime
(0008,0017)	Acquisition UID	Acquisition​UID	UI	1		Acquisition UID	N	Y	U	(0008,0017) ?= hashUID[(0008,0017)]	(0008,0017) ?= hashUID[(0008,0017)] //Acquisition UID
(0008,0018)	SOP Instance UID	SOP​Instance​UID	UI	1		SOP Instance UID	N	Y	U	(0008,0018) ?= hashUID[(0008,0018)]	(0008,0018) ?= hashUID[(0008,0018)] //SOP Instance UID
(0008,0019)	Pyramid UID	Pyramid​UID	UI	1		Pyramid UID	N	Y	U	(0008,0019) ?= hashUID[(0008,0019)]	(0008,0019) ?= hashUID[(0008,0019)] //Pyramid UID
(0008,0020)	Study Date	Study​Date	DA	1		Study Date	N	Y	Z	(0008,0020) ?= "00000000"	(0008,0020) ?= "00000000" //Study Date
(0008,0021)	Series Date	Series​Date	DA	1		Series Date	N	Y	X/D	(0008,0021) ?= "00000000"	(0008,0021) ?= "00000000" //Series Date
(0008,0022)	Acquisition Date	Acquisition​Date	DA	1		Acquisition Date	N	Y	X/Z	(0008,0022) ?= "00000000"	(0008,0022) ?= "00000000" //Acquisition Date
(0008,0023)	Content Date	Content​Date	DA	1		Content Date	N	Y	Z/D	(0008,0023) ?= "00000000"	(0008,0023) ?= "00000000" //Content Date
(0008,0024)	Overlay Date	Overlay​Date	DA	1	RET (2004)	Overlay Date	Y	Y	X	-(0008,0024)	-(0008,0024) //Overlay Date
(0008,0025)	Curve Date	Curve​Date	DA	1	RET (2004)	Curve Date	Y	Y	X	-(0008,0025)	-(0008,0025) //Curve Date
(0008,002A)	Acquisition DateTime	Acquisition​Date​Time	DT	1		Acquisition DateTime	N	Y	X/Z/D	(0008,002A) ?= "00000000000000.000000"	(0008,002A) ?= "00000000000000.000000" //Acquisition DateTime
(0008,0030)	Study Time	Study​Time	TM	1		Study Time	N	Y	Z	(0008,0030) ?= "000000.000000"	(0008,0030) ?= "000000.000000" //Study Time
(0008,0031)	Series Time	Series​Time	TM	1		Series Time	N	Y	X/D	(0008,0031) ?= "000000.000000"	(0008,0031) ?= "000000.000000" //Series Time
(0008,0032)	Acquisition Time	Acquisition​Time	TM	1		Acquisition Time	N	Y	X/Z	(0008,0032) ?= "000000.000000"	(0008,0032) ?= "000000.000000" //Acquisition Time
(0008,0033)	Content Time	Content​Time	TM	1		Content Time	N	Y	Z/D	(0008,0033) ?= "000000.000000"	(0008,0033) ?= "000000.000000" //Content Time
(0008,0034)	Overlay Time	Overlay​Time	TM	1	RET (2004)	Overlay Time	Y	Y	X	-(0008,0034)	-(0008,0034) //Overlay Time
(0008,0035)	Curve Time	Curve​Time	TM	1	RET	Curve Time	Y	Y	X	-(0008,0035)	-(0008,0035) //Curve Time
(0008,0050)	Accession Number	Accession​Number	SH	1		Accession Number	N	Y	Z	(0008,0050) ?= "ANON"	(0008,0050) ?= "ANON" //Accession Number
(0008,0054)	Retrieve AE Title	Retrieve​AE​Title	AE	1-n		Retrieve AE Title	N	Y	X	-(0008,0054)	-(0008,0054) //Retrieve AE Title
(0008,0055)	Station AE Title	Station​AE​Title	AE	1		Station AE Title	N	Y	X	-(0008,0055)	-(0008,0055) //Station AE Title
(0008,0058)	Failed SOP Instance UID List	Failed​SOP​Instance​UID​List	UI	1-n		Failed SOP Instance UID List	N	N	U	(0008,0058) ?= hashUID[(0008,0058)]	(0008,0058) ?= hashUID[(0008,0058)] //Failed SOP Instance UID List
(0008,0080)	Institution Name	Institution​Name	LO	1		Institution Name	N	Y	X/Z/D	(0008,0080) ?= "ANON"	(0008,0080) ?= "ANON" //Institution Name
(0008,0081)	Institution Address	Institution​Address	ST	1		Institution Address	N	Y	X	-(0008,0081)	-(0008,0081) //Institution Address
(0008,0082)	Institution Code Sequence	Institution​Code​Sequence	SQ	1		Institution Code Sequence	N	Y	X/Z/D	TBD	TBD //Institution Code Sequence
(0008,0090)	Referring Physician's Name	Referring​Physician​Name	PN	1		Referring Physician's Name	N	Y	Z	(0008,0090) ?= "ANON"	(0008,0090) ?= "ANON" //Referring Physician's Name
(0008,0092)	Referring Physician's Address	Referring​Physician​Address	ST	1		Referring Physician's Address	N	N	X	-(0008,0092)	-(0008,0092) //Referring Physician's Address
(0008,0094)	Referring Physician's Telephone Numbers	Referring​Physician​Telephone​Numbers	SH	1-n		Referring Physician's Telephone Numbers	N	N	X	-(0008,0094)	-(0008,0094) //Referring Physician's Telephone Numbers
(0008,0096)	Referring Physician Identification Sequence	Referring​Physician​Identification​Sequence	SQ	1		Referring Physician Identification Sequence	N	Y	X	-(0008,0096)	-(0008,0096) //Referring Physician Identification Sequence
(0008,009C)	Consulting Physician's Name	Consulting​Physician​Name	PN	1-n		Consulting Physician's Name	N	Y	Z	(0008,009C) ?= "ANON"	(0008,009C) ?= "ANON" //Consulting Physician's Name
(0008,009D)	Consulting Physician Identification Sequence	Consulting​Physician​Identification​Sequence	SQ	1		Consulting Physician Identification Sequence	N	Y	X	-(0008,009D)	-(0008,009D) //Consulting Physician Identification Sequence
(0008,0106)	Context Group Version	Context​Group​Version	DT	1		Context Group Version	N	Y	D	(0008,0106) ?= "00000000000000.000000"	(0008,0106) ?= "00000000000000.000000" //Context Group Version
(0008,0107)	Context Group Local Version	Context​Group​Local​Version	DT	1		Context Group Local Version	N	Y	D	(0008,0107) ?= "00000000000000.000000"	(0008,0107) ?= "00000000000000.000000" //Context Group Local Version
(0008,0201)	Timezone Offset From UTC	Timezone​Offset​From​UTC	SH	1		Timezone Offset From UTC	N	Y	X	-(0008,0201)	-(0008,0201) //Timezone Offset From UTC
(0008,1000)	Network ID	Network​ID	AE	1	RET	Network ID	Y	N	X	-(0008,1000)	-(0008,1000) //Network ID
(0008,1010)	Station Name	Station​Name	SH	1		Station Name	N	Y	X/Z/D	(0008,1010) ?= "ANON"	(0008,1010) ?= "ANON" //Station Name
(0008,1030)	Study Description	Study​Description	LO	1		Study Description	N	Y	X	-(0008,1030)	-(0008,1030) //Study Description
(0008,103E)	Series Description	Series​Description	LO	1		Series Description	N	Y	X	-(0008,103E)	-(0008,103E) //Series Description
(0008,1040)	Institutional Department Name	Institutional​Department​Name	LO	1		Institutional Department Name	N	Y	X	-(0008,1040)	-(0008,1040) //Institutional Department Name
(0008,1041)	Institutional Department Type Code Sequence	Institutional​Department​Type​Code​Sequence	SQ	1		Institutional Department Type Code Sequence	N	Y	X	-(0008,1041)	-(0008,1041) //Institutional Department Type Code Sequence
(0008,1048)	Physician(s) of Record	Physicians​Of​Record	PN	1-n		Physician(s) of Record	N	Y	X	-(0008,1048)	-(0008,1048) //Physician(s) of Record
(0008,1049)	Physician(s) of Record Identification Sequence	Physicians​Of​Record​Identification​Sequence	SQ	1		Physician(s) of Record Identification Sequence	N	Y	X	-(0008,1049)	-(0008,1049) //Physician(s) of Record Identification Sequence
(0008,1050)	Performing Physician's Name	Performing​Physician​Name	PN	1-n		Performing Physician's Name	N	Y	X	-(0008,1050)	-(0008,1050) //Performing Physician's Name
(0008,1052)	Performing Physician Identification Sequence	Performing​Physician​Identification​Sequence	SQ	1		Performing Physician Identification Sequence	N	Y	X	-(0008,1052)	-(0008,1052) //Performing Physician Identification Sequence
(0008,1060)	Name of Physician(s) Reading Study	Name​Of​Physicians​Reading​Study	PN	1-n		Name of Physician(s) Reading Study	N	Y	X	-(0008,1060)	-(0008,1060) //Name of Physician(s) Reading Study
(0008,1062)	Physician(s) Reading Study Identification Sequence	Physicians​Reading​Study​Identification​Sequence	SQ	1		Physician(s) Reading Study Identification Sequence	N	Y	X	-(0008,1062)	-(0008,1062) //Physician(s) Reading Study Identification Sequence
(0008,1070)	Operators' Name	Operators​Name	PN	1-n		Operators' Name	N	Y	X/Z/D	(0008,1070) ?= "ANON"	(0008,1070) ?= "ANON" //Operators' Name
(0008,1072)	Operator Identification Sequence	Operator​Identification​Sequence	SQ	1		Operator Identification Sequence	N	Y	X/D	TBD	TBD //Operator Identification Sequence
(0008,1080)	Admitting Diagnoses Description	Admitting​Diagnoses​Description	LO	1-n		Admitting Diagnoses Description	N	Y	X	-(0008,1080)	-(0008,1080) //Admitting Diagnoses Description
(0008,1084)	Admitting Diagnoses Code Sequence	Admitting​Diagnoses​Code​Sequence	SQ	1		Admitting Diagnoses Code Sequence	N	Y	X	-(0008,1084)	-(0008,1084) //Admitting Diagnoses Code Sequence
(0008,1088)	Pyramid Description	Pyramid​Description	LO	1		Pyramid Description	N	Y	X	-(0008,1088)	-(0008,1088) //Pyramid Description
(0008,1110)	Referenced Study Sequence	Referenced​Study​Sequence	SQ	1		Referenced Study Sequence	N	Y	X/Z	TBD	TBD //Referenced Study Sequence
(0008,1111)	Referenced Performed Procedure Step Sequence	Referenced​Performed​Procedure​Step​Sequence	SQ	1		Referenced Performed Procedure Step Sequence	N	Y	X/Z/D	TBD	TBD //Referenced Performed Procedure Step Sequence
(0008,1120)	Referenced Patient Sequence	Referenced​Patient​Sequence	SQ	1		Referenced Patient Sequence	N	Y	X	-(0008,1120)	-(0008,1120) //Referenced Patient Sequence
